line,departure_name,departure_time,arrival_time,arrival_name,distance,driving_time,pause,rotation_id,vehicle_type,vehicle_id
7015,Marktplatz, 2022-07-05 14:22:00 , 2022-07-05 14:27:00 ,Therme,0.37, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 14:27:00 , 2022-07-05 14:30:00 ,Gries,0.37, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Therme, 2022-07-05 14:31:00 , 2022-07-05 14:34:00 ,Bahnhof,0.32, 00:03:00, 00:01:00,,SH_oppb-0,0
7015,Gries, 2022-07-05 14:34:00 , 2022-07-05 14:39:00 ,Gries,0.85, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Bahnhof, 2022-07-05 14:39:00 , 2022-07-05 14:42:00 ,Therme,0.53, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 14:42:00 , 2022-07-05 14:45:00 ,Artrium,0.53, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Marktplatz, 2022-07-05 14:46:00 , 2022-07-05 14:49:00 ,Marktplatz,0.85, 00:03:00, 00:01:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 14:49:00 , 2022-07-05 14:52:00 ,Marktplatz,0.32, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Therme, 2022-07-05 14:52:00 , 2022-07-05 14:57:00 ,Artrium,0.37, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Gries, 2022-07-05 14:57:00 , 2022-07-05 15:00:00 ,Therme,0.37, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Bahnhof, 2022-07-05 15:01:00 , 2022-07-05 15:04:00 ,Gries,0.32, 00:03:00, 00:01:00,,SH_oppb-0,0
7015,Gries, 2022-07-05 15:04:00 , 2022-07-05 15:09:00 ,Bahnhof,0.85, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Therme, 2022-07-05 15:09:00 , 2022-07-05 15:12:00 ,Gries,0.53, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 15:19:00 , 2022-07-05 15:22:00 ,Therme,0.53, 00:03:00, 00:07:00,,SH_oppb-0,0
7015,Marktplatz, 2022-07-05 15:22:00 , 2022-07-05 15:27:00 ,Artrium,0.37, 00:05:00, 00:00:00,,SH_oppb-0,0
