vehicle_type,level_of_loading,incline,mean_speed,t_amb,consumption
EZ10,0,-0.03,17.957,14,0.14
EZ10,0,-0.03,17.957,16,0.163
EZ10,0,-0.03,17.957,18,0.139
EZ10,0,-0.03,17.957,20,0.117
EZ10,0,-0.03,17.957,22,0.126
EZ10,0,-0.03,17.957,24,0.118
EZ10,0,-0.03,17.957,26,0.118
EZ10,0,-0.03,17.957,28,0.124
EZ10,0,-0.03,17.957,30,0.133
EZ10,0,-0.03,17.957,32,0.119
EZ10,0,-0.03,25.184,-16,0.382
EZ10,0,-0.03,25.184,-14,0.36
EZ10,0,-0.03,25.184,-12,0.339
EZ10,0,-0.03,25.184,-10,0.318
EZ10,0,-0.03,25.184,-8,0.297
EZ10,0,-0.03,25.184,-6,0.277
EZ10,0,-0.03,25.184,-2,0.256
EZ10,0,-0.03,25.184,-4,0.276
EZ10,0,-0.03,25.184,0,0.237
EZ10,0,-0.03,25.184,2,0.236
EZ10,0,-0.03,25.184,4,0.217
EZ10,0,-0.03,25.184,6,0.199
EZ10,0,-0.03,25.184,8,0.182
EZ10,0,-0.03,25.184,10,0.165
EZ10,0,-0.03,25.184,12,0.149
EZ10,0,-0.03,25.184,14,0.133
EZ10,0,-0.03,25.184,16,0.147
EZ10,0,-0.03,25.184,18,0.131
EZ10,0,-0.03,25.184,20,0.116
EZ10,0,-0.03,25.184,22,0.123
EZ10,0,-0.03,25.184,24,0.117
EZ10,0,-0.03,25.184,26,0.116
EZ10,0,-0.03,25.184,28,0.12
EZ10,0,-0.02,2.626,-16,14.292
EZ10,0,-0.03,25.184,30,0.125
EZ10,0,-0.02,2.626,-14,12.801
EZ10,0,-0.02,2.626,-12,11.384
EZ10,0,-0.02,2.626,-10,10.041
EZ10,0,-0.02,2.626,-8,8.772
EZ10,0,-0.03,25.184,32,0.116
EZ10,0,-0.02,2.626,-6,7.576
EZ10,0,-0.02,2.626,-4,7.508
EZ10,0,-0.02,2.626,0,5.362
EZ10,0,-0.02,2.626,-2,6.398
EZ10,0,-0.02,2.626,2,5.317
EZ10,0,-0.02,2.626,6,3.489
EZ10,0,-0.02,2.626,4,4.365
EZ10,0,-0.02,2.626,8,2.693
EZ10,0,-0.02,2.626,10,1.981
EZ10,0,-0.02,2.626,12,1.361
EZ10,0,-0.02,2.626,14,0.85
EZ10,0,-0.02,2.626,16,1.347
EZ10,0,-0.02,2.626,18,0.844
EZ10,0,-0.02,2.626,20,0.495
EZ10,0,-0.02,2.626,22,0.642
EZ10,0,-0.02,2.626,24,0.532
EZ10,0,-0.02,2.626,26,0.532
EZ10,0,-0.02,2.626,28,0.662
EZ10,0,-0.02,2.626,30,0.864
EZ10,0,-0.02,2.626,32,0.585
EZ10,0,-0.02,12.115,-16,0.867
EZ10,0,-0.02,12.115,-14,0.8
EZ10,0,-0.02,12.115,-12,0.736
EZ10,0,-0.02,12.115,-10,0.674
EZ10,0,-0.02,12.115,-8,0.614
EZ10,0,-0.02,12.115,-6,0.556
EZ10,0,-0.02,12.115,-2,0.499
EZ10,0,-0.02,12.115,-4,0.554
EZ10,0,-0.02,12.115,0,0.446
EZ10,0,-0.02,12.115,2,0.444
EZ10,0,-0.02,12.115,4,0.394
EZ10,0,-0.02,12.115,6,0.346
EZ10,0,-0.02,12.115,8,0.3
EZ10,0,-0.02,12.115,10,0.257
EZ10,0,-0.02,12.115,12,0.217
EZ10,0,-0.02,12.115,14,0.179
EZ10,0,-0.02,12.115,16,0.215
EZ10,0,-0.02,12.115,18,0.179
EZ10,0,-0.02,12.115,22,0.161
EZ10,0,-0.02,12.115,24,0.149
EZ10,0,-0.02,12.115,20,0.146
EZ10,0,-0.02,12.115,26,0.149
EZ10,0,-0.02,12.115,28,0.159
EZ10,0,-0.02,12.115,30,0.174
EZ10,0,-0.02,12.115,32,0.153
EZ10,0,-0.02,17.957,-16,0.612
EZ10,0,-0.02,17.957,-14,0.57
EZ10,0,-0.02,17.957,-10,0.491
EZ10,0,-0.02,17.957,-12,0.53
EZ10,0,-0.02,17.957,-8,0.453
EZ10,0,-0.02,17.957,-6,0.417
EZ10,0,-0.02,17.957,-4,0.414
EZ10,0,-0.02,17.957,-2,0.379
EZ10,0,-0.02,17.957,0,0.346
EZ10,0,-0.02,17.957,2,0.344
EZ10,0,-0.02,17.957,4,0.312
